,control1,lps1,control2,lps2,control3,lps3
A1BG,288,237,313,303,428,247
A1BG-AS1,104,163,92,168,147,157
A1CF,0,0,0,3,0,0
A2M,51249,44005,124564,94548,56650,49609
A2M-AS1,57,26,31,15,85,17
A2ML1,4,5,5,5,5,3
A2MP1,1,6,1,15,1,8
A3GALT2,1,1,4,4,6,4
A4GALT,114,2031,702,6247,547,1862
A4GNT,20,23,12,23,15,23
AA06,0,0,0,0,0,0
AAAS,1918,1048,1627,828,1931,1156
AACS,729,463,628,610,666,484
AACSP1,2,0,3,0,0,0
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,13,1,1,1,0,2
AAED1,1018,1161,896,1479,1222,1125
AAGAB,1493,1338,1346,1173,1789,1540
AAK1,6767,5046,6719,4208,7027,5633
AAMDC,123,180,97,216,172,177
AAMP,3260,2529,2525,2032,3093,2905
AANAT,41,115,80,80,38,99
AAR2,1588,1692,1480,1580,1674,1711
AARD,0,0,1,0,0,0
AARS,6580,4187,4180,3738,5594,3598
AARS2,1296,1599,1058,1378,1072,1343
AARSD1,0,1,1,0,0,0
AASDH,902,1145,701,926,902,971
AASDHPPT,1907,1345,1599,1217,1522,1375
AASS,37,297,28,251,50,207
AATF,2564,2519,2098,2633,2209,2605
AATK,1202,645,295,337,3179,754
AATK-AS1,2,1,0,0,2,0
ABAT,828,473,1033,269,1219,527
ABCA1,9469,22380,10492,16896,4394,17819
ABCA10,32,98,64,307,20,107
ABCA11P,72,68,89,83,112,82
ABCA12,3,1,1,1,1,0
ABCA13,14,2,9,3,4,2
ABCA17P,0,0,0,2,2,0
ABCA2,2264,591,3029,526,1481,536
ABCA3,365,205,386,327,276,114
ABCA4,0,4,26,18,1,8
ABCA5,618,1257,985,3117,686,1390
ABCA6,85,357,143,297,25,416
ABCA7,976,1235,803,1580,1842,1221
ABCA8,0,0,0,0,0,0
ABCA9,19,96,24,232,10,114
ABCB1,42,86,205,84,79,167
ABCB10,2188,1217,1880,1234,1981,1136
ABCB11,9,1,27,4,14,5
ABCB4,204,509,719,204,206,480
ABCB5,8,35,9,46,6,23
ABCB6,468,214,410,208,541,255
ABCB7,1185,990,1186,987,1321,1139
ABCB8,1861,1152,2686,1007,1923,1192
ABCB9,511,74,1123,35,352,119
ABCC1,10774,21367,20036,21850,9589,22139
ABCC10,2849,2423,1676,2102,2617,2397
ABCC11,4,3,6,3,3,3
ABCC12,0,0,0,0,0,0
ABCC13,8,3,15,5,2,0
ABCC2,42,36,49,49,41,47
ABCC3,14476,11698,17272,8516,11468,10591
ABCC4,2284,196,1140,237,1288,168
ABCC5,2828,1324,2843,1148,5194,1412
ABCC5-AS1,6,7,8,3,8,3
ABCC6,66,59,111,148,80,70
ABCC6P1,0,0,1,1,0,0
ABCC6P2,0,0,0,0,0,0
ABCC8,1,0,4,0,0,0
ABCC9,0,0,1,0,0,0
ABCD1,3867,4322,5180,5676,3432,4875
ABCD2,4,9,10,11,26,10
ABCD3,2440,1298,2620,1256,2716,1475
ABCD4,1492,1262,874,1047,1817,1431
ABCE1,8086,2179,6431,1236,4932,2203
ABCF1,4839,5102,3999,5107,4259,4893
ABCF2,3921,1894,2272,1736,2534,2089
ABCF3,2748,2390,2494,2089,2374,2364
ABCG1,29,932,75,2245,42,1533
ABCG2,515,49,1208,105,1184,174
ABCG4,0,0,0,1,2,0
ABCG5,7,2,5,0,8,7
ABCG8,1,0,0,1,0,0
ABHD1,7,4,11,2,19,4
ABHD10,3223,1211,3001,899,2136,1200
ABHD11,656,303,485,243,617,371
ABHD12,11248,9058,13444,9309,17274,7823
ABHD12B,29,12,44,9,35,12
ABHD13,1270,1828,1279,1724,1314,1690
ABHD14A,228,71,162,60,249,77
ABHD14A-ACY1,0,0,0,0,1,0
ABHD14B,1185,597,1562,620,1114,472
ABHD15,1327,577,1044,831,1292,702
ABHD16A,2307,2535,2226,2189,2971,2791
ABHD16B,745,825,499,821,776,1218
ABHD17A,3069,1997,3064,1958,3725,2238
