"","DESeq","EBSeq","edgeR","NOISeq","voom","baySeq","count"
"RRM2","+","+","+","+","-","-",4
"SDS","+","-","-","+","+","-",3
"GPR128","+","-","+","+","-","-",3
"FAM111B","+","+","+","-","-","-",3
"DTL","+","+","+","-","-","-",3
"CDK1","+","+","+","-","-","-",3
"MYBL2","+","+","+","-","-","-",3
"NPIPB15","+","-","+","-","-","-",2
"HJURP","+","+","-","-","-","-",2
"CTGLF12P","+","-","+","-","-","-",2
"RNF128","+","-","+","-","-","-",2
"HLA-DQB2","+","-","+","-","-","-",2
"MCM10","+","+","-","-","-","-",2
"ATP1B4","-","+","+","-","-","-",2
"BUB1B","-","+","+","-","-","-",2
"MKI67","-","-","+","+","-","-",2
"CRLF2","-","-","+","+","-","-",2
"CXCL5","-","-","-","+","-","+",2
"RSAD2","-","-","-","+","-","+",2
"NQO2","+","-","-","-","-","-",1
"THNSL2","+","-","-","-","-","-",1
"PEX6","+","-","-","-","-","-",1
"GOLGA8H","+","-","-","-","-","-",1
"MAP3K9","+","-","-","-","-","-",1
"SMO","+","-","-","-","-","-",1
"POLR2J2","+","-","-","-","-","-",1
"TMC4","+","-","-","-","-","-",1
"RUNX3","+","-","-","-","-","-",1
"TBC1D12","+","-","-","-","-","-",1
"DHRS7","+","-","-","-","-","-",1
"PARM1","+","-","-","-","-","-",1
"MUC20","+","-","-","-","-","-",1
"NEFM","+","-","-","-","-","-",1
"PLXNA3","+","-","-","-","-","-",1
"LIPN","+","-","-","-","-","-",1
"DEFB1","+","-","-","-","-","-",1
"KIF18B","-","+","-","-","-","-",1
"E2F8","-","+","-","-","-","-",1
"BIRC5","-","+","-","-","-","-",1
"DEPDC1","-","+","-","-","-","-",1
"SPC25","-","+","-","-","-","-",1
"SKA3","-","+","-","-","-","-",1
"NEK2","-","+","-","-","-","-",1
"PTCHD4","-","+","-","-","-","-",1
"PBK","-","+","-","-","-","-",1
"DAPL1","-","+","-","-","-","-",1
"CDCA7","-","+","-","-","-","-",1
"ASPM","-","+","-","-","-","-",1
"CDC45","-","+","-","-","-","-",1
"KIF4A","-","+","-","-","-","-",1
"KIAA0101","-","+","-","-","-","-",1
"FLJ41200","-","+","-","-","-","-",1
"SCN7A","-","+","-","-","-","-",1
"TICRR","-","+","-","-","-","-",1
"PKMYT1","-","+","-","-","-","-",1
"DIAPH3","-","+","-","-","-","-",1
"LOC441528","-","+","-","-","-","-",1
"HS3ST3A1","-","-","+","-","-","-",1
"DSG2","-","-","+","-","-","-",1
"GTSE1","-","-","+","-","-","-",1
"ANLN","-","-","+","-","-","-",1
